id;name;rating;bedroom;bed;bath;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;license
1350390;Rental unit in Bangkok ;4.55 ;1;1;1;2129668;Wimonpak;;Sathon;13.71628;100.51238;Entire home/apt;1140;1;121;24-11-2023;0.95;42;353;13;
156583;Rental unit in Bangkok ;4.17 ;1;1;1;58920;Gael;;Bang Rak;13.7285;100.52313;Entire home/apt;1090;7;65;13-04-2023;0.45;2;167;3;
866152;Guesthouse in Bangkok ;0;1;3;1;822284;Rae And Charlie;;Bang Sue;13.82955;100.52119;Entire home/apt;1000;3;0;;;8;153;0;
159355;Condo in Bangkok ;0;1;1;1;764690;Wirat;;Yan na wa;13.71363;100.54652;Entire home/apt;1732;2;0;;;1;0;0;
866329;Rental unit in Bangkok ;4.67 ;1;1;1;4549405;Carlos;;Bang Rak;13.72479;100.53039;Private room;728;21;16;17-11-2023;0.13;2;304;6;
1353517;Condo in Bangkok ;4.78 ;2;3;2;7327298;Notee;;Khlong Toei;13.72393;100.57647;Entire home/apt;3450;5;36;04-12-2023;0.37;2;64;10;
1394285;Rental unit in Bangkok ;4.22 ;1;1;1;7489121;Anis;;Suanluang;13.73789;100.64271;Private room;850;1;9;26-09-2023;0.10;13;365;1;
1395513;Rental unit in Bangkok ;0;1;1;1;7489121;Anis;;Suanluang;13.73613;100.64319;Private room;1050;1;0;;;13;365;0;
1400351;Rental unit in Bangkok ;5.0 ;1;1;1;7489121;Anis;;Bueng Kum;13.78327;100.67124;Private room;700;1;3;19-09-2019;0.05;13;365;0;
1404697;Rental unit in Bangkok ;0;1;1;1;7489121;Anis;;Bang Phlat;13.80698;100.5121;Private room;1050;1;0;;;13;365;0;
166267;Condo in Bangkok ;4.43 ;1;3;1;58920;Gael;;Bang Rak;13.72733;100.52555;Entire home/apt;1680;6;77;26-10-2023;0.53;2;172;6;
169285;Rental unit in Bangkok ;0;1;1;1;806600;Frances;;Huai Khwang;13.78118;100.58349;Private room;1316;1;0;;;1;0;0;
869715;Rental unit in Bangkok ;0;1;1;1;4583001;Suchela;;Khlong Toei;13.7142;100.59233;Entire home/apt;866;120;0;;;2;0;0;
169514;Rental unit in Bangkok ;0;2;1;2;729617;Kanchuya;;Vadhana;13.74464;100.55784;Entire home/apt;1732;90;0;;;1;365;0;
1405479;Rental unit in Bangkok ;0;2;1;1;7489121;Anis;;Bang Phlat;13.807;100.51059;Private room;1676;1;0;;;13;365;0;
1405480;Rental unit in Bangkok ;0;1;1;1;7489121;Anis;;Bang Phlat;13.80657;100.51192;Private room;1050;1;0;;;13;365;0;
1406065;Rental unit in Bangkok ;0;1;1;1;7489121;Anis;;Bang Phlat;13.80685;100.5125;Private room;1050;1;0;;;13;365;0;
172332;Guesthouse in Bangkok ;5.0 ;1;1;1.5 ;822284;Rae And Charlie;;Bang Sue;13.83148;100.52102;Entire home/apt;1000;3;24;03-10-2023;0.18;8;123;3;
1412787;Rental unit in Bangkok ;4.71 ;1;2;1;7616231;Jeab;;Khlong San;13.72174;100.50769;Entire home/apt;1833;3;115;08-12-2023;0.95;1;143;26;
241416;Rental unit in Bangkok ;0;1;1;1;960892;Vajirune;;Phra Khanong;13.70169;100.5977;Private room;2248;3;0;;;1;365;0;
873841;Rental unit in Bangkok ;0;1;1;1;4115838;Primrose;;Thawi Watthana;13.79109;100.33362;Private room;3500;2;0;;;6;362;0;
